candidate_id,rank,score,reasoning
CAND_0046525,1,1.000000,"High confidence - Senior Machine Learning Engineer, 6.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (88%)."
CAND_0064326,2,0.979030,"High confidence - Search Engineer, 7.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Gurgaon, Haryana-based, responsive to recruiters (94%)."
CAND_0041669,3,0.975148,"High confidence - Recommendation Systems Engineer, 8.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (77%)."
CAND_0018499,4,0.974948,"High confidence - Senior Machine Learning Engineer, 7.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (61%)."
CAND_0079064,5,0.951794,"High confidence - Senior Data Scientist, 5.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (91%)."
CAND_0010257,6,0.943352,"High confidence - Senior Data Scientist, 6.5 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Noida, Uttar Pradesh-based, responsive to recruiters (72%)."
CAND_0027691,7,0.937164,"High confidence - NLP Engineer, 6.5 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (68%)."
CAND_0077337,8,0.919401,"High confidence - Staff Machine Learning Engineer, 7.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (95%)."
CAND_0000031,9,0.910235,"High confidence - Recommendation Systems Engineer, 6.0 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Hyderabad, Telangana-based, responsive to recruiters (91%)."
CAND_0083879,10,0.909603,"High confidence - Machine Learning Engineer, 7.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based."
CAND_0075574,11,0.908852,"High confidence - Machine Learning Engineer, 5.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Bangalore, Karnataka-based."
CAND_0039383,12,0.906439,"High confidence - Applied ML Engineer, 7.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Gurgaon, Haryana-based, responsive to recruiters (61%)."
CAND_0007009,13,0.903596,"High confidence - Recommendation Systems Engineer, 7.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (62%)."
CAND_0081846,14,0.902668,"High confidence - Lead AI Engineer, 6.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (73%)."
CAND_0052328,15,0.888331,"High confidence - Recommendation Systems Engineer, 6.5 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (79%)."
CAND_0069905,16,0.877992,"High confidence - Applied ML Engineer, 6.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (78%)."
CAND_0037566,17,0.875992,"High confidence - Machine Learning Engineer, 6.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Bangalore, Karnataka-based."
CAND_0005649,18,0.875424,"High confidence - Senior Data Scientist, 7.4 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based."
CAND_0068811,19,0.873939,"High confidence - Applied ML Engineer, 8.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based."
CAND_0042029,20,0.873154,"High confidence - Senior Data Scientist, 6.5 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based, responsive to recruiters (67%)."
CAND_0017960,21,0.872667,"High confidence - Recommendation Systems Engineer, 7.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Bangalore, Karnataka-based, responsive to recruiters (72%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0086022,22,0.867927,"High confidence - Senior Applied Scientist, 5.3 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: 5.3y sits below the 6-8y sweet spot."
CAND_0066376,23,0.862572,"High confidence - Applied ML Engineer, 5.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Mumbai, Maharashtra-based. Ranked here rather than higher: 5.7y sits below the 6-8y sweet spot."
CAND_0044855,24,0.860186,"High confidence - Senior Data Scientist, 6.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0027801,25,0.860155,"High confidence - NLP Engineer, 7.4 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Hyderabad, Telangana-based, responsive to recruiters (65%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0018722,26,0.859134,"High confidence - Recommendation Systems Engineer, 6.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (79%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0081053,27,0.856766,"High confidence - NLP Engineer, 5.4 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (83%). Ranked here rather than higher: 5.4y sits below the 6-8y sweet spot."
CAND_0074225,28,0.856760,"Moderate confidence - Machine Learning Engineer, 4.3 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (91%). Ranked here rather than higher: 4.3y sits below the 6-8y sweet spot."
CAND_0070398,29,0.853097,"High confidence - Machine Learning Engineer, 7.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (60%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0006418,30,0.852521,"High confidence - Machine Learning Engineer, 5.7 yrs; demonstrated retrieval/ranking, ranking evaluation (NDCG/MRR/A-B) and NLP/LLM; Gurgaon, Haryana-based, responsive to recruiters (92%). Ranked here rather than higher: 5.7y sits below the 6-8y sweet spot."
CAND_0098846,31,0.851235,"High confidence - AI Engineer, 7.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (62%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0057563,32,0.848319,"High confidence - NLP Engineer, 6.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (83%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0096142,33,0.848016,"High confidence - Applied ML Engineer, 5.0 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Hyderabad, Telangana-based, responsive to recruiters (84%). Ranked here rather than higher: 5.0y sits below the 6-8y sweet spot."
CAND_0005260,34,0.847634,"High confidence - Senior NLP Engineer, 5.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (86%). Ranked here rather than higher: 5.2y sits below the 6-8y sweet spot."
CAND_0028793,35,0.847415,"High confidence - Search Engineer, 7.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0042506,36,0.846889,"Moderate confidence - Search Engineer, 4.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Mumbai, Maharashtra-based. Ranked here rather than higher: 4.2y sits below the 6-8y sweet spot."
CAND_0009691,37,0.846375,"High confidence - Applied ML Engineer, 6.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (64%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0061265,38,0.846315,"High confidence - Recommendation Systems Engineer, 6.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based, responsive to recruiters (94%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0044883,39,0.845360,"High confidence - AI Engineer, 6.3 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (84%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0018549,40,0.842538,"High confidence - Recommendation Systems Engineer, 6.8 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation, responsive to recruiters (73%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0052335,41,0.841634,"High confidence - Applied ML Engineer, 6.4 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (79%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0064270,42,0.841311,"Moderate confidence - Applied ML Engineer, 4.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (82%). Ranked here rather than higher: 4.2y sits below the 6-8y sweet spot."
CAND_0042100,43,0.839329,"High confidence - Machine Learning Engineer, 7.3 yrs; demonstrated retrieval/ranking, ranking evaluation (NDCG/MRR/A-B) and NLP/LLM; open to relocation, responsive to recruiters (87%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0086151,44,0.839036,"High confidence - Recommendation Systems Engineer, 7.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0054394,45,0.835366,"Moderate confidence - Recommendation Systems Engineer, 4.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (64%). Ranked here rather than higher: 4.1y sits below the 6-8y sweet spot."
CAND_0060054,46,0.835178,"High confidence - AI Engineer, 6.4 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (86%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0020877,47,0.829406,"High confidence - Applied ML Engineer, 5.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Gurgaon, Haryana-based, responsive to recruiters (66%). Ranked here rather than higher: 5.1y sits below the 6-8y sweet spot."
CAND_0045250,48,0.827060,"High confidence - Applied ML Engineer, 6.6 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Delhi, Delhi-based, responsive to recruiters (74%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0050454,49,0.826336,"High confidence - AI Engineer, 6.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based, responsive to recruiters (77%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0079284,50,0.824579,"High confidence - Machine Learning Engineer, 4.9 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Hyderabad, Telangana-based, responsive to recruiters (79%). Ranked here rather than higher: 4.9y sits below the 6-8y sweet spot."
CAND_0064904,51,0.823814,"High confidence - AI Engineer, 4.9 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Hyderabad, Telangana-based, responsive to recruiters (78%). Ranked here rather than higher: 4.9y sits below the 6-8y sweet spot."
CAND_0030348,52,0.821550,"Moderate confidence - Machine Learning Engineer, 4.5 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based. Ranked here rather than higher: 4.5y sits below the 6-8y sweet spot."
CAND_0006557,53,0.819398,"High confidence - NLP Engineer, 7.9 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation, responsive to recruiters (63%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0089552,54,0.817505,"High confidence - Machine Learning Engineer, 6.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: availability signals (recruiter response / recency) are a notch lower."
CAND_0031593,55,0.815185,"High confidence - Search Engineer, 7.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0058575,56,0.811884,"High confidence - AI Engineer, 5.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (69%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0036863,57,0.810553,"Moderate confidence - Senior Data Scientist, 4.3 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: 4.3y sits below the 6-8y sweet spot."
CAND_0076831,58,0.810495,"Moderate confidence - Search Engineer, 4.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based. Ranked here rather than higher: 4.0y sits below the 6-8y sweet spot."
CAND_0051004,59,0.808101,"Moderate confidence - Senior Data Scientist, 4.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based. Ranked here rather than higher: 4.7y sits below the 6-8y sweet spot."
CAND_0024466,60,0.806593,"High confidence - Search Engineer, 5.2 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation. Ranked here rather than higher: 5.2y sits below the 6-8y sweet spot."
CAND_0049896,61,0.805091,"High confidence - Search Engineer, 7.3 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0029367,62,0.804197,"High confidence - Senior Data Scientist, 5.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Bangalore, Karnataka-based, responsive to recruiters (77%). Ranked here rather than higher: 5.7y sits below the 6-8y sweet spot."
CAND_0047721,63,0.803068,"High confidence - Senior Data Scientist, 7.0 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0066999,64,0.802672,"High confidence - Recommendation Systems Engineer, 5.9 yrs; demonstrated retrieval/ranking, ranking evaluation (NDCG/MRR/A-B) and NLP/LLM; Delhi, Delhi-based, responsive to recruiters (63%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0054123,65,0.802431,"Moderate confidence - Applied ML Engineer, 4.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Gurgaon, Haryana-based, responsive to recruiters (87%). Ranked here rather than higher: 4.7y sits below the 6-8y sweet spot."
CAND_0087630,66,0.796410,"High confidence - AI Engineer, 7.2 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Gurgaon, Haryana-based. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0062247,67,0.794799,"High confidence - AI Engineer, 7.3 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (78%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0043637,68,0.787847,"High confidence - Junior ML Engineer, 5.5 yrs; demonstrated retrieval/ranking, NLP/LLM and applied ML; Delhi, Delhi-based, responsive to recruiters (92%). Ranked here rather than higher: 5.5y sits below the 6-8y sweet spot."
CAND_0079387,69,0.787270,"High confidence - AI Engineer, 6.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (81%). Minor concern: based in Trivandrum, Kerala and not open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0076251,70,0.786643,"High confidence - Search Engineer, 7.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0011162,71,0.785063,"High confidence - Recommendation Systems Engineer, 5.8 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation, responsive to recruiters (75%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0071974,72,0.784996,"High confidence - Senior AI Engineer, 7.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (76%). Minor concern: based in Vizag, Andhra Pradesh and not open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0015578,73,0.784313,"High confidence - AI Engineer, 5.4 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based, responsive to recruiters (65%). Ranked here rather than higher: 5.4y sits below the 6-8y sweet spot."
CAND_0011687,74,0.784211,"High confidence - Senior NLP Engineer, 7.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (89%). Minor concern: based in Indore, Madhya Pradesh and not open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0026532,75,0.784032,"Moderate confidence - Recommendation Systems Engineer, 4.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Ranked here rather than higher: 4.8y sits below the 6-8y sweet spot."
CAND_0088025,76,0.782267,"High confidence - Staff Machine Learning Engineer, 8.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (83%). Minor concern: based in Jaipur, Rajasthan and not open to relocation. Ranked here rather than higher: 8.6y sits above the 6-8y sweet spot."
CAND_0036437,77,0.781175,"Moderate confidence - Search Engineer, 4.8 yrs; demonstrated retrieval/ranking, ranking evaluation (NDCG/MRR/A-B) and NLP/LLM; open to relocation, responsive to recruiters (87%). Ranked here rather than higher: 4.8y sits below the 6-8y sweet spot."
CAND_0016163,78,0.780383,"High confidence - Applied ML Engineer, 6.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Gurgaon, Haryana-based, responsive to recruiters (72%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0055905,79,0.779753,"High confidence - Senior Machine Learning Engineer, 8.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (87%). Minor concern: based in London and not open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0091909,80,0.778277,"High confidence - Machine Learning Engineer, 6.9 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Bangalore, Karnataka-based, responsive to recruiters (65%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0087364,81,0.776871,"High confidence - Recommendation Systems Engineer, 4.9 yrs; demonstrated retrieval/ranking, ranking evaluation (NDCG/MRR/A-B) and NLP/LLM; Gurgaon, Haryana-based. Ranked here rather than higher: 4.9y sits below the 6-8y sweet spot."
CAND_0075249,82,0.776454,"High confidence - Applied ML Engineer, 6.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (82%). Minor concern: based in Ahmedabad, Gujarat and not open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0094056,83,0.775863,"High confidence - NLP Engineer, 5.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (82%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0078492,84,0.775814,"High confidence - Recommendation Systems Engineer, 5.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (70%). Ranked here rather than higher: 5.1y sits below the 6-8y sweet spot."
CAND_0022812,85,0.775043,"Moderate confidence - Applied ML Engineer, 4.5 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (79%). Ranked here rather than higher: 4.5y sits below the 6-8y sweet spot."
CAND_0080766,86,0.774787,"High confidence - Staff Machine Learning Engineer, 8.8 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (66%). Ranked here rather than higher: 8.8y sits above the 6-8y sweet spot."
CAND_0099806,87,0.773826,"Moderate confidence - AI Engineer, 4.6 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation, responsive to recruiters (76%). Ranked here rather than higher: 4.6y sits below the 6-8y sweet spot."
CAND_0090155,88,0.773721,"High confidence - ML Engineer, 5.8 yrs; demonstrated retrieval/ranking, NLP/LLM and applied ML; Pune, Maharashtra-based, responsive to recruiters (64%). Ranked here rather than higher: retrieval/ranking evidence is solid but thinner than the top tier."
CAND_0058688,89,0.773412,"High confidence - AI Engineer, 6.7 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation, responsive to recruiters (74%). Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0001610,90,0.772378,"Moderate confidence - Machine Learning Engineer, 3.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation. Concern: only 3 years experience, below the target band. Ranked here rather than higher: 3.0y sits below the 6-8y sweet spot."
CAND_0062413,91,0.771369,"High confidence - AI Research Engineer, 6.6 yrs; demonstrated retrieval/ranking, NLP/LLM and applied ML; Mumbai, Maharashtra-based, responsive to recruiters (71%). Ranked here rather than higher: retrieval/ranking evidence is solid but thinner than the top tier."
CAND_0009837,92,0.769056,"Moderate confidence - Senior Data Scientist, 4.3 yrs; demonstrated retrieval/ranking, ranking evaluation (NDCG/MRR/A-B) and NLP/LLM; Noida, Uttar Pradesh-based. Ranked here rather than higher: 4.3y sits below the 6-8y sweet spot."
CAND_0081852,93,0.765976,"High confidence - Senior Data Scientist, 5.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0006567,94,0.765764,"Moderate confidence - Senior AI Engineer, 7.9 yrs; demonstrated retrieval/ranking and ranking evaluation (NDCG/MRR/A-B); Noida, Uttar Pradesh-based, responsive to recruiters (79%). Ranked here rather than higher: retrieval/ranking evidence is solid but thinner than the top tier."
CAND_0061339,95,0.763449,"Moderate confidence - Search Engineer, 4.2 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation, responsive to recruiters (90%). Ranked here rather than higher: 4.2y sits below the 6-8y sweet spot."
CAND_0012957,96,0.761047,"High confidence - Search Engineer, 4.9 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); open to relocation, responsive to recruiters (67%). Ranked here rather than higher: 4.9y sits below the 6-8y sweet spot."
CAND_0081686,97,0.760606,"High confidence - Search Engineer, 6.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (91%). Minor concern: based in Austin and not open to relocation. Ranked here rather than higher: edged out by candidates above with deeper retrieval/ranking track records."
CAND_0060538,98,0.758714,"High confidence - ML Engineer, 5.2 yrs; demonstrated retrieval/ranking, NLP/LLM and applied ML; Pune, Maharashtra-based. Ranked here rather than higher: 5.2y sits below the 6-8y sweet spot."
CAND_0046064,99,0.754857,"High confidence - Senior NLP Engineer, 8.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; responsive to recruiters (78%). Minor concern: based in Coimbatore, Tamil Nadu and not open to relocation. Ranked here rather than higher: 8.9y sits above the 6-8y sweet spot."
CAND_0008295,100,0.750309,"Moderate confidence - AI Research Engineer, 6.5 yrs; demonstrated retrieval/ranking, NLP/LLM and applied ML; Pune, Maharashtra-based, responsive to recruiters (89%). Ranked here rather than higher: retrieval/ranking evidence is solid but thinner than the top tier."
